Date,CPI,GDP,Unemployment,RSI,Bank_Rate,FTSE100,Inflation_YoY,Inflation_lag3,Inflation_lag6
2001-07-01,73.69999999999999,497938.0,5.1,73.9,5.25,5546.899902,1.5151515151515138,1.307639366827229,1.061375173050294
2001-08-01,73.9,497938.0,5.1,74.1,5.0,5345.0,1.93103448275862,1.6483516483516425,0.6925207756232732
2001-09-01,74.1,497938.0,5.1,74.5,4.75,4785.600098,1.3679890560875485,1.6460905349794164,0.9681881051175623
2001-10-01,73.9,499278.0,5.1,75.0,4.5,5039.700195,1.025290498974707,1.5151515151515138,1.307639366827229
2001-11-01,73.8,499278.0,5.2,76.0,4.0,5203.600098,0.8196721311475308,1.93103448275862,1.6483516483516425
2001-12-01,74.0,499278.0,5.2,77.2,4.0,5217.399902,1.0928961748633892,1.3679890560875485,1.6460905349794164
2002-01-01,74.03333333333335,500794.0,5.1,76.4,4.0,5164.799805,1.4155251141552583,1.025290498974707,1.5151515151515138
2002-02-01,73.8,500794.0,5.2,77.4,4.0,5101.0,1.5130674002751032,0.8196721311475308,1.93103448275862
2002-03-01,74.1,500794.0,5.2,77.4,4.0,5271.799805,1.5068493150684814,1.0928961748633892,1.3679890560875485
2002-04-01,74.45,503433.0,5.2,78.7,4.0,5125.5,1.154891304347827,1.4155251141552583,1.025290498974707
2002-05-01,74.6,503433.0,5.2,78.1,4.0,5085.100098,0.8108108108108025,1.5130674002751032,0.8196721311475308
2002-06-01,74.6,503433.0,5.2,77.1,4.0,4685.799805,0.6747638326585648,1.5068493150684814,1.0928961748633892
2002-07-01,74.5,506386.0,5.2,78.5,4.0,4044.5,1.0854816824966251,1.154891304347827,1.4155251141552583
2002-08-01,74.6,506386.0,5.3,78.2,4.0,4227.299805,0.9472259810554551,0.8108108108108025,1.5130674002751032
2002-09-01,74.8,506386.0,5.2,78.6,4.0,3797.399902,0.9446693657219951,0.6747638326585648,1.5068493150684814
2002-10-01,74.95,509728.0,5.2,78.9,4.0,4039.699951,1.420838971583227,1.0854816824966251,1.154891304347827
2002-11-01,74.9,509728.0,5.1,79.5,4.0,4169.399902,1.4905149051490652,0.9472259810554551,0.8108108108108025
2002-12-01,75.2,509728.0,5.0,78.0,4.0,3940.399902,1.6216216216216273,0.9446693657219951,0.6747638326585648
2003-01-01,75.06666666666666,514031.0,5.1,78.3,4.0,3567.399902,1.3957676722196943,1.420838971583227,1.0854816824966251
2003-02-01,75.0,514031.0,5.2,78.4,3.75,3655.600098,1.6260162601626105,1.4905149051490652,0.9472259810554551
2003-03-01,75.3,514031.0,5.1,78.7,3.75,3684.800049,1.6194331983805599,1.6216216216216273,0.9446693657219951
2003-04-01,75.5,518802.0,5.0,78.8,3.75,3880.100098,1.410342511752849,1.3957676722196943,1.420838971583227
2003-05-01,75.5,518802.0,4.9,78.8,3.75,4048.100098,1.2064343163538993,1.6260162601626105,1.4905149051490652
2003-06-01,75.4,518802.0,5.1,80.0,3.75,3963.899902,1.0723860589812562,1.6194331983805599,1.6216216216216273
2003-07-01,75.44999999999999,524213.0,5.1,80.4,3.5,4098.399902,1.2751677852348875,1.410342511752849,1.3957676722196943
2003-08-01,75.6,524213.0,5.0,80.2,3.5,4204.399902,1.3404825737265424,1.2064343163538993,1.6260162601626105
2003-09-01,75.9,524213.0,5.0,81.1,3.5,4169.200195,1.4705882352941346,1.0723860589812562,1.6194331983805599
2003-10-01,76.0,528320.0,4.9,81.1,3.5,4287.600098,1.4009339559706513,1.2751677852348875,1.410342511752849
2003-11-01,75.9,528320.0,4.9,81.0,3.75,4342.600098,1.3351134846461887,1.3404825737265424,1.2064343163538993
2003-12-01,76.2,528320.0,4.8,81.1,3.75,4476.899902,1.3297872340425565,1.4705882352941346,1.0723860589812562
2004-01-01,76.06666666666666,529996.0,4.8,82.4,3.75,4390.700195,1.3321492007104752,1.4009339559706513,1.2751677852348875
2004-02-01,76.0,529996.0,4.8,81.9,4.0,4492.200195,1.333333333333342,1.3351134846461887,1.3404825737265424
2004-03-01,76.1,529996.0,4.8,82.3,4.0,4410.700195,1.0624169986719778,1.3297872340425565,1.4705882352941346
2004-04-01,76.45,532543.0,4.8,82.8,4.0,4489.700195,1.2582781456953684,1.3321492007104752,1.4009339559706513
2004-05-01,76.6,532543.0,4.8,83.0,4.25,4422.700195,1.4569536423840956,1.333333333333342,1.3351134846461887
2004-06-01,76.6,532543.0,4.8,83.8,4.5,4424.700195,1.591511936339507,1.0624169986719778,1.3297872340425565
2004-07-01,76.5,534447.0,4.7,83.7,4.5,4413.100098,1.3916500994035852,1.2582781456953684,1.3321492007104752
2004-08-01,76.6,534447.0,4.7,83.9,4.75,4502.100098,1.3227513227513255,1.4569536423840956,1.333333333333342
2004-09-01,76.7,534447.0,4.7,84.3,4.75,4659.700195,1.0540184453227797,1.591511936339507,1.0624169986719778
2004-10-01,77.0,536886.0,4.7,84.2,4.75,4624.200195,1.3157894736842035,1.3916500994035852,1.2582781456953684
2004-11-01,77.0,536886.0,4.7,83.9,4.75,4703.200195,1.4492753623188248,1.3227513227513255,1.4569536423840956
2004-12-01,77.4,536886.0,4.7,83.7,4.75,4814.299805,1.5748031496062964,1.0540184453227797,1.591511936339507
2005-01-01,77.46666666666665,541028.0,4.8,83.7,4.75,4852.299805,1.8404907975460016,1.3157894736842035,1.3916500994035852
2005-02-01,77.2,541028.0,4.7,83.4,4.75,4968.5,1.5789473684210575,1.4492753623188248,1.3227513227513255
2005-03-01,77.5,541028.0,4.7,82.8,4.75,4914.0,1.8396846254927768,1.5748031496062964,1.0540184453227797
2005-04-01,77.9,545530.0,4.8,83.3,4.75,4801.700195,1.8966644865925586,1.8404907975460016,1.3157894736842035
2005-05-01,78.1,545530.0,4.8,83.1,4.75,5011.0,1.9582245430809442,1.5789473684210575,1.4492753623188248
2005-06-01,78.1,545530.0,4.7,83.7,4.75,5161.0,1.9582245430809442,1.8396846254927768,1.5748031496062964
2005-07-01,78.30000000000001,550552.0,4.7,83.5,4.75,5290.899902,2.352941176470602,1.8966644865925586,1.8404907975460016
2005-08-01,78.4,550552.0,4.7,82.6,4.5,5328.5,2.349869451697151,1.9582245430809442,1.5789473684210575
2005-09-01,78.6,550552.0,4.9,83.0,4.5,5477.700195,2.4771838331160145,1.9582245430809442,1.8396846254927768
2005-10-01,78.75,556311.0,5.1,83.1,4.5,5317.299805,2.2727272727272707,2.352941176470602,1.8966644865925586
2005-11-01,78.7,556311.0,5.1,84.0,4.5,5423.200195,2.207792207792214,2.349869451697151,1.9582245430809442
2005-12-01,78.9,556311.0,5.1,83.7,4.5,5618.799805,1.9379844961240345,2.4771838331160145,1.9582245430809442
2006-01-01,79.03333333333335,558314.0,5.2,84.6,4.5,5760.299805,2.0223752151463215,2.2727272727272707,2.352941176470602
2006-02-01,78.8,558314.0,5.2,84.2,4.5,5791.5,2.072538860103612,2.207792207792214,2.349869451697151
2006-03-01,78.9,558314.0,5.3,85.2,4.5,5964.600098,1.806451612903226,1.9379844961240345,2.4771838331160145
2006-04-01,79.6,559795.0,5.4,84.8,4.5,6023.100098,2.182284980744531,2.0223752151463215,2.2727272727272707
2006-05-01,79.9,559795.0,5.5,85.4,4.5,5749.700195,2.3047375160051287,2.072538860103612,2.207792207792214
2006-06-01,80.1,559795.0,5.5,85.7,4.5,5833.399902,2.5608194622279035,1.806451612903226,1.9379844961240345
2006-07-01,80.15,560675.0,5.5,85.5,4.5,5880.799805,2.362707535121311,2.182284980744531,2.0223752151463215
2006-08-01,80.4,560675.0,5.5,85.3,4.75,5949.200195,2.5510204081632626,2.3047375160051287,2.072538860103612
2006-09-01,80.5,560675.0,5.5,85.3,4.75,5960.799805,2.4173027989822016,2.5608194622279035,1.806451612903226
2006-10-01,80.75,562669.0,5.4,86.1,4.75,6129.200195,2.5396825396825307,2.362707535121311,2.182284980744531
2006-11-01,80.8,562669.0,5.5,86.3,5.0,6048.899902,2.668360864040653,2.5510204081632626,2.3047375160051287
2006-12-01,81.3,562669.0,5.5,86.9,5.0,6220.799805,3.041825095057016,2.4173027989822016,2.5608194622279035
2007-01-01,81.13333333333333,568845.0,5.5,86.1,5.25,6203.100098,2.657106706031187,2.5396825396825307,2.362707535121311
2007-02-01,81.0,568845.0,5.5,87.0,5.25,6171.5,2.7918781725888353,2.668360864040653,2.5510204081632626
2007-03-01,81.4,568845.0,5.5,87.7,5.25,6308.0,3.168567807351086,3.041825095057016,2.4173027989822016
2007-04-01,81.69999999999999,574194.0,5.4,88.2,5.25,6419.600098,2.638190954773867,2.657106706031187,2.5396825396825307
2007-05-01,81.8,574194.0,5.4,87.4,5.5,6676.700195,2.3779724655819567,2.7918781725888353,2.668360864040653
2007-06-01,82.0,574194.0,5.3,87.5,5.5,6607.899902,2.372034956304625,3.168567807351086,3.041825095057016
2007-07-01,81.6,579605.0,5.3,87.4,5.75,6250.600098,1.8091079226450368,2.638190954773867,2.657106706031187
2007-08-01,81.8,579605.0,5.3,87.8,5.75,6303.299805,1.741293532338295,2.3779724655819567,2.7918781725888353
2007-09-01,81.9,579605.0,5.2,88.0,5.75,6506.299805,1.7391304347826209,2.372034956304625,3.168567807351086
2007-10-01,82.44999999999999,584504.0,5.2,87.2,5.75,6721.600098,2.105263157894721,1.8091079226450368,2.638190954773867
2007-11-01,82.5,584504.0,5.2,87.4,5.75,6432.5,2.103960396039617,1.741293532338295,2.3779724655819567
2007-12-01,83.0,584504.0,5.2,86.9,5.5,6456.899902,2.091020910209096,1.7391304347826209,2.372034956304625
2008-01-01,83.33333333333333,586690.0,5.2,87.5,5.5,5879.799805,2.7115858668857795,2.105263157894721,1.8091079226450368
2008-02-01,83.0,586690.0,5.2,89.2,5.25,5884.299805,2.4691358024691468,2.103960396039617,1.741293532338295
2008-03-01,83.4,586690.0,5.3,87.0,5.25,5852.600098,2.4570024570024662,2.091020910209096,1.7391304347826209
2008-04-01,84.3,583541.0,5.2,86.3,5.0,6087.299805,3.182374541003674,2.7115858668857795,2.105263157894721
2008-05-01,84.6,583541.0,5.4,88.9,5.0,6053.5,3.4229828850855792,2.4691358024691468,2.103960396039617
2008-06-01,85.2,583541.0,5.5,85.6,5.0,5479.899902,3.9024390243902474,2.4570024570024662,2.091020910209096
2008-07-01,85.4,573961.0,5.7,85.9,5.0,5354.700195,4.656862745098045,3.182374541003674,2.7115858668857795
2008-08-01,85.7,573961.0,5.9,86.1,5.0,5602.799805,4.767726161369201,3.4229828850855792,2.4691358024691468
2008-09-01,86.1,573961.0,6.0,86.1,5.0,4959.600098,5.12820512820511,3.9024390243902474,2.4570024570024662
2008-10-01,85.85,561816.0,6.2,85.7,4.5,4377.299805,4.123711340206193,4.656862745098045,3.182374541003674
2008-11-01,85.8,561816.0,6.4,85.9,3.0,4288.0,4.0000000000000036,4.767726161369201,3.4229828850855792
2008-12-01,85.5,561816.0,6.5,86.4,2.0,4434.200195,3.0120481927710774,5.12820512820511,3.9024390243902474
2009-01-01,85.63333333333333,550451.0,6.7,87.1,1.5,4149.600098,2.760000000000007,4.123711340206193,4.656862745098045
2009-02-01,85.6,550451.0,7.1,85.4,1.0,3830.100098,3.1325301204819134,4.0000000000000036,4.767726161369201
2009-03-01,85.8,550451.0,7.3,85.8,0.5,3955.600098,2.877697841726601,3.0120481927710774,5.12820512820511
2009-04-01,86.2,548859.0,7.6,86.2,0.5,4243.200195,2.2538552787663146,2.760000000000007,4.123711340206193
2009-05-01,86.4,548859.0,7.8,86.3,0.5,4506.200195,2.1276595744680993,3.1325301204819134,4.0000000000000036
2009-06-01,86.7,548859.0,7.9,86.9,0.5,4340.700195,1.760563380281699,2.877697841726601,3.0120481927710774
2009-07-01,86.80000000000001,549540.0,7.9,87.3,0.5,4608.399902,1.6393442622950838,2.2538552787663146,2.760000000000007
2009-08-01,87.0,549540.0,7.8,87.3,0.5,4819.700195,1.516919486581103,2.1276595744680993,3.1325301204819134
2009-09-01,87.1,549540.0,7.9,87.2,0.5,5047.799805,1.1614401858304202,1.760563380281699,2.877697841726601
2009-10-01,87.4,551372.0,7.8,87.5,0.5,5044.600098,1.8054746651135822,1.6393442622950838,2.2538552787663146
2009-11-01,87.5,551372.0,7.8,86.9,0.5,5190.700195,1.9813519813519864,1.516919486581103,2.1276595744680993
2009-12-01,88.0,551372.0,7.7,86.1,0.5,5412.899902,2.923976608187129,1.1614401858304202,1.760563380281699
2010-01-01,88.46666666666665,556002.0,7.9,83.4,0.5,5188.5,3.3086804203970255,1.8054746651135822,1.6393442622950838
2010-02-01,88.2,556002.0,8.0,85.8,0.5,5354.5,3.0373831775700966,1.9813519813519864,1.516919486581103
2010-03-01,88.7,556002.0,8.0,85.2,0.5,5744.899902,3.379953379953382,2.923976608187129,1.1614401858304202
2010-04-01,89.25,562353.0,7.9,85.6,0.5,5553.299805,3.538283062645009,3.3086804203970255,1.8054746651135822
2010-05-01,89.4,562353.0,7.9,85.9,0.5,5163.299805,3.472222222222232,3.0373831775700966,1.9813519813519864
2010-06-01,89.5,562353.0,7.8,85.9,0.5,4805.799805,3.2295271049596286,3.379953379953382,2.923976608187129
2010-07-01,89.44999999999999,565659.0,7.8,86.2,0.5,5258.0,3.052995391705049,3.538283062645009,3.3086804203970255
2010-08-01,89.8,565659.0,7.8,86.2,0.5,5366.399902,3.218390804597693,3.472222222222232,3.0373831775700966
2010-09-01,89.8,565659.0,7.9,85.3,0.5,5592.899902,3.0998851894374235,3.2295271049596286,3.379953379953382
2010-10-01,90.25,565945.0,7.9,85.8,0.5,5675.200195,3.2608695652173836,3.052995391705049,3.538283062645009
2010-11-01,90.3,565945.0,7.9,85.7,0.5,5528.299805,3.200000000000003,3.218390804597693,3.472222222222232
2010-12-01,91.2,565945.0,7.9,84.0,0.5,5899.899902,3.6363636363636376,3.0998851894374235,3.2295271049596286
2011-01-01,92.16666666666667,566873.0,7.8,85.5,0.5,5862.899902,4.182366239638302,3.2608695652173836,3.052995391705049
2011-02-01,92.0,566873.0,7.8,85.0,0.5,5994.0,4.308390022675734,3.200000000000003,3.218390804597693
2011-03-01,92.2,566873.0,7.7,85.0,0.5,6009.899902,3.945885005636973,3.6363636363636376,3.0998851894374235
2011-04-01,93.25,566601.0,7.8,86.2,0.5,6069.899902,4.481792717086841,4.182366239638302,3.2608695652173836
2011-05-01,93.4,566601.0,7.9,84.5,0.5,5928.600098,4.4742729306487705,4.308390022675734,3.200000000000003
2011-06-01,93.3,566601.0,8.0,84.3,0.5,5989.799805,4.245810055865928,3.945885005636973,3.6363636363636376
2011-07-01,93.55,567586.0,8.2,84.7,0.5,5774.399902,4.583566238121861,4.481792717086841,4.182366239638302
2011-08-01,93.8,567586.0,8.3,84.5,0.5,5418.700195,4.454342984409809,4.4742729306487705,4.308390022675734
2011-09-01,94.4,567586.0,8.4,84.7,0.5,5128.5,5.1224944320712895,4.245810055865928,3.945885005636973
2011-10-01,94.6,568056.0,8.5,85.5,0.5,5544.200195,4.819944598337944,4.583566238121861,4.481792717086841
2011-11-01,94.6,568056.0,8.4,85.1,0.5,5505.399902,4.761904761904767,4.454342984409809,4.4742729306487705
2011-12-01,95.1,568056.0,8.3,85.8,0.5,5572.299805,4.2763157894736725,5.1224944320712895,4.245810055865928
2012-01-01,95.26666666666665,573416.0,8.3,85.4,0.5,5681.600098,3.363471971066878,4.819944598337944,4.583566238121861
2012-02-01,95.1,573416.0,8.2,84.6,0.5,5871.5,3.3695652173912904,4.761904761904767,4.454342984409809
2012-03-01,95.4,573416.0,8.2,86.5,0.5,5768.5,3.470715835141003,4.2763157894736725,5.1224944320712895
2012-04-01,95.9,573112.0,8.1,84.3,0.5,5812.200195,2.8418230563002744,3.363471971066878,4.819944598337944
2012-05-01,95.9,573112.0,8.0,85.0,0.5,5260.200195,2.676659528907921,3.3695652173912904,4.761904761904767
2012-06-01,95.5,573112.0,8.0,85.2,0.5,5571.200195,2.3579849946409492,3.470715835141003,4.2763157894736725
2012-07-01,95.85,579051.0,7.9,85.1,0.5,5712.799805,2.4585783003741257,2.8418230563002744,3.363471971066878
2012-08-01,96.1,579051.0,7.8,85.2,0.5,5711.5,2.452025586353934,2.676659528907921,3.3695652173912904
2012-09-01,96.5,579051.0,7.8,85.6,0.5,5820.5,2.2245762711864403,2.3579849946409492,3.470715835141003
2012-10-01,97.15,578215.0,7.8,84.9,0.5,5782.700195,2.6955602536997914,2.4585783003741257,2.8418230563002744
2012-11-01,97.2,578215.0,7.8,84.5,0.5,5866.799805,2.748414376321362,2.452025586353934,2.676659528907921
2012-12-01,97.6,578215.0,7.8,84.8,0.5,5897.799805,2.628811777076767,2.2245762711864403,2.3579849946409492
2013-01-01,97.76666666666667,579749.0,8.0,84.4,0.5,6276.899902,2.6242127361791656,2.6955602536997914,2.4585783003741257
2013-02-01,97.8,579749.0,7.8,85.8,0.5,6360.799805,2.8391167192429068,2.748414376321362,2.452025586353934
2013-03-01,98.1,579749.0,7.8,84.8,0.5,6411.700195,2.8301886792452713,2.628811777076767,2.2245762711864403
